timestamp,device_id,component_type,log_type,log_message,event_severity,error_code,performance_metrics,location
2025-03-27 17:55:57,dev_8,AC_Unit,IOT_log,Signal lost,1,IOT_E202,,Delhi
2025-04-13 18:16:57,dev_5,ATM,Server_log,Unexpected shutdown,4,,"CPU:89.38%, MEM:82.83%",Hyderabad
2025-04-02 15:49:57,dev_10,ATM,Server_log,General log: system healthy,4,,"CPU:80.68%, MEM:99.46%",Chennai
2025-04-17 02:11:57,dev_10,Server,ATM_log,Network timeout,1,,,Bangalore
2025-03-20 23:22:57,dev_2,Server,ATM_log,Cash dispenser error,1,ATM_E001,,Delhi
2025-04-17 02:42:57,dev_7,Server,ATM_log,General log: operation normal,3,,,Mumbai
2025-03-25 21:39:57,dev_4,AC_Unit,Server_log,Disk failure warning,4,SRV_E101,"CPU:88.17%, MEM:69.49%",Mumbai
2025-03-31 06:58:57,dev_9,ATM,ATM_log,General log: operation normal,1,,,Mumbai
2025-03-19 06:01:57,dev_8,AC_Unit,Server_log,High CPU usage detected,5,,"CPU:73.05%, MEM:66.11%",Bangalore
2025-04-18 06:53:57,dev_5,AC_Unit,ATM_log,Printer error,2,ATM_E003,,Delhi
2025-04-03 11:19:57,dev_9,Server,ATM_log,Printer error,1,ATM_E001,,Mumbai
2025-04-01 06:25:57,dev_1,AC_Unit,IOT_log,Intermittent connectivity,3,,,Hyderabad
2025-03-26 08:59:57,dev_4,Server,Server_log,High CPU usage detected,3,,"CPU:77.38%, MEM:66.43%",Chennai
2025-03-27 10:00:57,dev_1,Server,Server_log,Disk failure warning,5,SRV_E103,"CPU:75.6%, MEM:71.4%",Delhi
2025-04-15 23:59:57,dev_9,Server,ATM_log,General log: operation normal,3,,,Chennai
2025-04-17 04:23:57,dev_3,Server,Server_log,Disk failure warning,5,SRV_E103,"CPU:75.2%, MEM:95.87%",Bangalore
2025-03-22 18:45:57,dev_6,UPS,ATM_log,Cash dispenser error,1,ATM_E001,,Bangalore
2025-03-24 23:59:57,dev_3,ATM,Server_log,Unexpected shutdown,4,,"CPU:72.41%, MEM:80.98%",Mumbai
2025-04-05 14:31:57,dev_6,Server,Server_log,Unexpected shutdown,4,,"CPU:82.31%, MEM:99.3%",Chennai
2025-03-22 15:00:57,dev_3,AC_Unit,ATM_log,Card reader malfunction,2,ATM_E001,,Delhi
2025-04-15 19:50:57,dev_6,UPS,ATM_log,Network timeout,2,,,Delhi
2025-03-23 13:04:57,dev_7,UPS,IOT_log,General log: stable,1,,,Delhi
2025-04-15 03:59:57,dev_3,ATM,ATM_log,Card reader malfunction,1,ATM_E001,,Hyderabad
2025-03-23 05:42:57,dev_2,AC_Unit,ATM_log,Cash dispenser error,1,ATM_E003,,Hyderabad
2025-04-04 14:00:57,dev_6,ATM,Server_log,High CPU usage detected,3,,"CPU:73.36%, MEM:75.91%",Hyderabad
2025-03-19 23:38:57,dev_7,UPS,Server_log,Unexpected shutdown,3,,"CPU:99.08%, MEM:94.62%",Hyderabad
2025-04-07 11:07:57,dev_3,AC_Unit,Server_log,Memory leak suspected,2,,"CPU:94.51%, MEM:70.32%",Bangalore
2025-03-29 22:26:57,dev_4,AC_Unit,Server_log,General log: system healthy,5,,"CPU:75.13%, MEM:86.75%",Chennai
2025-04-17 15:48:57,dev_7,Server,ATM_log,General log: operation normal,1,,,Chennai
2025-03-29 00:15:57,dev_1,UPS,Server_log,General log: system healthy,5,,"CPU:97.88%, MEM:82.27%",Bangalore
2025-04-06 23:33:57,dev_6,UPS,ATM_log,Cash dispenser error,2,ATM_E003,,Bangalore
2025-04-11 17:08:57,dev_5,ATM,IOT_log,Signal lost,3,IOT_E201,,Chennai
2025-04-13 14:50:57,dev_4,AC_Unit,IOT_log,Sensor calibration needed,1,,,Delhi
2025-03-31 05:43:57,dev_3,Server,IOT_log,Signal lost,3,IOT_E203,,Mumbai
2025-04-07 00:04:57,dev_6,Server,ATM_log,Printer error,3,ATM_E002,,Delhi
2025-04-13 03:03:57,dev_2,ATM,IOT_log,Battery low,1,IOT_E203,,Mumbai
2025-04-03 17:44:57,dev_10,Server,Server_log,Memory leak suspected,4,,"CPU:87.15%, MEM:71.2%",Mumbai
2025-04-17 17:56:57,dev_10,Server,IOT_log,Signal lost,1,IOT_E202,,Hyderabad
2025-03-26 20:40:57,dev_10,ATM,Server_log,Disk failure warning,3,SRV_E101,"CPU:93.08%, MEM:67.48%",Bangalore
2025-03-26 04:15:57,dev_8,AC_Unit,IOT_log,General log: stable,3,,,Mumbai
2025-03-20 22:15:57,dev_6,Server,ATM_log,Printer error,2,ATM_E003,,Delhi
2025-03-27 08:57:57,dev_3,ATM,Server_log,General log: system healthy,2,,"CPU:79.71%, MEM:77.02%",Delhi
2025-04-12 22:45:57,dev_10,Server,ATM_log,Printer error,1,ATM_E002,,Delhi
2025-03-26 15:50:57,dev_6,AC_Unit,IOT_log,Sensor calibration needed,3,,,Mumbai
2025-03-27 21:19:57,dev_6,UPS,Server_log,Memory leak suspected,3,,"CPU:85.23%, MEM:69.7%",Hyderabad
2025-03-27 15:43:57,dev_5,ATM,ATM_log,Printer error,2,ATM_E003,,Hyderabad
2025-04-05 12:09:57,dev_7,UPS,Server_log,General log: system healthy,5,,"CPU:73.45%, MEM:84.42%",Chennai
2025-04-15 02:15:57,dev_10,Server,Server_log,High CPU usage detected,2,,"CPU:78.66%, MEM:83.25%",Mumbai
2025-04-09 17:45:57,dev_5,ATM,Server_log,Memory leak suspected,5,,"CPU:74.63%, MEM:79.25%",Hyderabad
2025-04-12 19:01:57,dev_9,ATM,IOT_log,General log: stable,2,,,Bangalore
2025-03-27 17:38:57,dev_3,UPS,ATM_log,Cash dispenser error,2,ATM_E001,,Mumbai
2025-04-12 04:21:57,dev_9,AC_Unit,Server_log,Memory leak suspected,2,,"CPU:85.98%, MEM:62.07%",Bangalore
2025-04-17 05:29:57,dev_9,UPS,ATM_log,Network timeout,1,,,Mumbai
2025-04-05 15:47:57,dev_10,UPS,ATM_log,Cash dispenser error,1,ATM_E001,,Mumbai
2025-03-29 09:00:57,dev_8,ATM,Server_log,Unexpected shutdown,5,,"CPU:80.1%, MEM:65.38%",Bangalore
2025-03-20 20:49:57,dev_2,UPS,Server_log,Unexpected shutdown,4,,"CPU:71.9%, MEM:99.6%",Mumbai
2025-04-13 04:03:57,dev_5,UPS,Server_log,Memory leak suspected,4,,"CPU:79.67%, MEM:92.39%",Chennai
2025-03-31 16:56:57,dev_2,ATM,IOT_log,Intermittent connectivity,3,,,Bangalore
2025-04-11 01:02:57,dev_7,UPS,IOT_log,Intermittent connectivity,3,,,Delhi
2025-03-21 10:35:57,dev_5,ATM,IOT_log,Sensor calibration needed,3,,,Chennai
2025-03-31 01:14:57,dev_10,Server,Server_log,Memory leak suspected,3,,"CPU:77.64%, MEM:87.26%",Hyderabad
2025-04-12 11:57:57,dev_1,UPS,IOT_log,Intermittent connectivity,1,,,Hyderabad
2025-03-22 21:56:57,dev_10,AC_Unit,IOT_log,Sensor calibration needed,1,,,Bangalore
2025-04-06 00:40:57,dev_9,AC_Unit,IOT_log,Intermittent connectivity,1,,,Bangalore
2025-03-23 19:26:57,dev_10,UPS,Server_log,Memory leak suspected,3,,"CPU:92.81%, MEM:83.83%",Hyderabad
2025-03-30 23:28:57,dev_2,ATM,ATM_log,Network timeout,3,,,Delhi
2025-03-21 06:09:57,dev_7,AC_Unit,IOT_log,Intermittent connectivity,3,,,Chennai
2025-03-30 03:03:57,dev_3,AC_Unit,ATM_log,General log: operation normal,3,,,Chennai
2025-03-27 19:40:57,dev_1,UPS,IOT_log,Battery low,1,IOT_E203,,Bangalore
2025-04-03 09:08:57,dev_6,ATM,Server_log,Disk failure warning,4,SRV_E102,"CPU:84.15%, MEM:76.47%",Bangalore
2025-03-21 19:22:57,dev_2,Server,Server_log,Unexpected shutdown,4,,"CPU:80.47%, MEM:97.18%",Mumbai
